"name","code","netweight","relatedPart","partnumber","compatibledescription-parca","compatibledescription-list","image"
"STRAP 5V2538 - Caterpillar","[""CA5V2538"",""5V-2538"",""5V2538""]","Weight: 0.20 pounds 0 kg.","CENTERLINE OF BOLT TO BOLT/CLIP  53.94  mm","5V2538","[""BACKHOE LOADER "",""COMPACT WHEEL LOADER "",""INTEGRATED TOOLCARRIER "",""TELEHANDLER "",""WHEEL LOADER "",""WHEEL SKIDDER Caterpillar""]","[[""416"",""416B"",""426B"",""428"",""428B"",""446"",""446B"",""446D""],[""910K"",""914G"",""914K""],[""IT14G"",""IT14G2"",""IT18B"",""IT18F"",""IT28"",""IT28B""],[""TH103"",""TH62"",""TH63"",""TH82"",""TH83""],[""916"",""918F"",""926"",""936"",""G936""],[""508"",""518"",""518C""]]","[""/product/5V2538.png"",""/product/5V2538_1.png"",""/product/5V2538_2.png"",""/product/5V2538_3.png""]"
"RING ASSEM. 3D7438 - Caterpillar","[""CA3D7438"",""3D-7438"",""3D7438""]","Weight: 1 pounds 0 kg.",,"3D7438","[""MOTOR GRADER Caterpillar""]","[[""120"",""12E"",""12F""]]","[""/product/3D7438.png"",""/product/3D7438_1.png"",""/product/3D7438_2.png""]"
"SEAL-LIP TYPE 7K9201 - Caterpillar","[""CA7K9201"",""7K-9201"",""7K9201""]","Weight: 0.03 pounds 0 kg.","AXIAL WIDTH  6.35  mm","7K-9201","[""COMPACT WHEEL LOADER "",""EXCAVATOR "",""INTEGRATED TOOLCARRIER "",""MOTOR GRADER "",""TRACK LOADER "",""WHEEL LOADER "",""WHEEL SKIDDER Caterpillar""]","[[""910""],[""320D"",""324D L"",""325B L"",""325C"",""325D L"",""329D L""],[""IT12"",""IT12B"",""IT14B"",""IT14F"",""IT14G"",""IT14G2"",""IT18"",""IT18B"",""IT28""],[""120G"",""120H"",""120H ES"",""120H NA"",""120K"",""120K 2"",""135H"",""135H NA""],[""931B"",""933"",""933C"",""939"",""939C"",""943"",""953"",""953B"",""953C"",""953D"",""973"",""973C""],[""916"",""920"",""926"",""930"",""992"",""G916""],[""508""]]","[""/product/7K9201.png""]"
"SEAL 7K9204 - Caterpillar","[""CA7K9204"",""7K-9204"",""7K9204""]","Weight: 0.04 pounds 0 kg.","AXIAL WIDTH  6.35  mm","7K-9204","[""COMPACT WHEEL LOADER "",""EXCAVATOR "",""FELLER BUNCHER "",""INTEGRATED TOOLCARRIER "",""LANDFILL COMPACTOR "",""MOTOR GRADER "",""TRACK LOADER "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL SKIDDER Caterpillar""]","[[""902"",""906"",""910E"",""910G"",""914G""],[""215""],[""FB518""],[""IT14G2"",""IT18B"",""IT18F"",""IT24F"",""IT28"",""IT28B"",""IT28F""],[""836"",""836G"",""836H"",""836K""],[""16M"",""24H"",""24M""],[""941"",""943"",""951B"",""953"",""953C"",""953D"",""955K"",""963"",""963B"",""963C"",""963D"",""977D"",""977K"",""977L""],[""834"",""834B"",""834G"",""834H"",""834K"",""844"",""844H"",""844K"",""854G"",""854K""],[""916"",""918F"",""920"",""924F"",""924G"",""924GZ"",""924H"",""924HZ"",""926"",""926A"",""928F"",""930"",""930K"",""950"",""966C"",""966R"",""980B"",""980C"",""980F"",""980H"",""980K"",""986H"",""988B"",""988F"",""988F II"",""988G"",""988H"",""988K"",""990"",""990 II"",""990H"",""990K"",""992G"",""992K"",""993K"",""G916""],[""651E"",""657E"",""657G""],[""518C""]]","[""/product/7K9204.png""]"
"DISC-THRUST 8E8305 - Caterpillar","[""CA8E8305"",""8E-8305"",""8E8305""]","Weight: 0.01 pounds 0 kg.","ID  38.6  mm","8E8305","[""ARTICULATED TRUCK "",""LANDFILL COMPACTOR "",""LOAD HAUL DUMP "",""PETROLEUM TRANSMISSION "",""PIPELAYER "",""PUMPER "",""SOIL COMPACTOR "",""TRACK-TYPE TRACTOR "",""TRACTOR "",""TRUCK "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""D250E"",""D250E II"",""D25D"",""D300E"",""D300E II""],[""816F"",""816F II""],[""R1600"",""R1600G"",""R1600H"",""R1700 II"",""R1700G""],[""CX48-P2300"",""TH48-E70"",""TH48-E80""],[""578""],[""SPF343C""],[""815B"",""815F"",""815F II""],[""30/30"",""D6H"",""D6H XL"",""D6H XR"",""D6R"",""D6R II"",""D6R III"",""D6R STD"",""D6T"",""D6T LGP"",""D6T LGPPAT"",""D6T XL"",""D7H"",""DEUCE""],[""776C"",""776D""],[""777B"",""777D"",""777F"",""777G""],[""814B"",""814F"",""814F II""],[""966D"",""966F"",""966F II"",""966G"",""966G II"",""970F"",""972G"",""972G II"",""972H"",""972K"",""972M"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""980K"",""980M""],[""615C""],[""611""]]","[""/product/8E8305.png""]"
"STOPPER-RUBBER 9G5664 - Caterpillar","[""CA9G5664"",""9G-5664"",""9G5664""]","Weight: 0.04 pounds 0 kg.","LENGTH  25  mm","9G5664","[""EXCAVATOR "",""PIPELAYER "",""TRACK SKIDDER "",""TRACK-TYPE TRACTOR "",""UNDERCARRIAGE Caterpillar""]","[[""235D"",""245""],[""572R"",""572R II"",""578"",""583R"",""583T"",""587R"",""587T"",""PL83"",""PL87""],[""517"",""527"",""D5HTSK II""],[""D6H"",""D6H II"",""D6H XL"",""D6H XR"",""D6R"",""D6R II"",""D6R III"",""D6R STD"",""D6T"",""D6T LGP"",""D6T LGPPAT"",""D6T XL"",""D7E"",""D7E LGP"",""D7H"",""D7R"",""D7R II"",""D7R XR"",""D8L"",""D8N"",""D8R"",""D8R II"",""D8T""],[""OEMS""]]","[""/product/9G5664.png""]"
"MOUNT AS 3H8726 - Caterpillar","[""CA3H8726"",""3H-8726"",""3H8726""]","Weight: 0.20 pounds 0 kg.","3H8726  MOUNT-AS-YM  3857208  CL","3H8726","[""COMPACT WHEEL LOADER "",""EXCAVATOR "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""INTEGRATED TOOLCARRIER "",""LANDFILL COMPACTOR "",""MOTOR GRADER "",""PIPELAYER "",""SOIL COMPACTOR "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""TRACTOR "",""TRUCK "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL SKIDDER "",""WHEEL TRACTOR Caterpillar""]","[[""910""],[""215"",""245"",""245B"",""245D""],[""C175-16""],[""D342""],[""IT12B"",""IT14B"",""IT18F"",""IT24F""],[""816F II"",""826C"",""836"",""836G"",""836H""],[""120"",""120B"",""12E"",""12F"",""140"",""14E"",""16"",""16G"",""16H NA""],[""561B"",""561C"",""561D"",""561N"",""583H"",""594H""],[""815"",""815F II""],[""931B"",""931C"",""933"",""933C"",""935B"",""939"",""939C"",""941"",""951B"",""955H"",""955K"",""955L"",""963"",""973"",""973C"",""977H"",""977K"",""977L"",""983"",""983B""],[""D10"",""D3C III"",""D3G"",""D4C III"",""D4D"",""D4E"",""D4E SR"",""D4G"",""D5"",""D5B"",""D5C"",""D5C III"",""D5E"",""D5G"",""D5N"",""D5R LGP"",""D6C"",""D6D"",""D6E"",""D6E SR"",""D6F SR"",""D6G"",""D6G SR"",""D6G2 LGP"",""D6G2 XL"",""D6M"",""D6N"",""D6N LGP"",""D6N OEM"",""D7F"",""D8H"",""D9G"",""D9H""],[""768B"",""772"",""776""],[""769"",""773"",""777""],[""814"",""814F II"",""824"",""824B"",""824C"",""834"",""834B"",""834G"",""834H"",""844"",""844H"",""844K"",""854G"",""854K""],[""918F"",""920"",""924F"",""930"",""930R"",""950"",""950B"",""966C"",""966D"",""966F"",""966F II"",""966R"",""970F"",""980"",""980B"",""980C"",""980F"",""988"",""988B"",""988F"",""988F II"",""988G"",""988H"",""990"",""990 II"",""990H"",""990K"",""992"",""992C"",""992D"",""992G"",""992K"",""993K"",""994"",""G910""],[""621E"",""627"",""627B"",""637D"",""657"",""657B""],[""528"",""528B"",""530B""],[""621"",""621B"",""623"",""623B"",""627"",""627B"",""631C"",""633C"",""637D"",""641"",""641B"",""650B"",""651"",""657B"",""666""]]","[""/product/3H8726.png"",""/product/3H8726_1.png""]"
"DISC-THRUST 8E8311 - Caterpillar","[""CA8E8311"",""8E-8311"",""8E8311""]","Weight: 0.02 pounds 0 kg.","ID  44.91  mm","8E8311","[""PIPELAYER "",""QUARRY TRUCK "",""TRACTOR "",""TRUCK "",""UNDERGROUND ART TRUCK Caterpillar""]","[[""583R"",""589""],[""775B"",""775D""],[""772B""],[""773B"",""773D"",""773E"",""773F"",""773G"",""773G LRC"",""773G OEM"",""775D"",""775E"",""775F"",""775G"",""775G LRC"",""775G OEM""],[""AD55B"",""AD60""]]","[""/product/8E8311.png""]"
"DISC-THRUST 8E8300 - Caterpillar","[""CA8E8300"",""8E-8300"",""8E8300""]","Weight: 0.01 pounds 0 kg.","ID  26.94  mm","8E8300","[""ARTICULATED TRUCK "",""COMPACT WHEEL LOADER "",""EJECTOR TRUCK "",""INTEGRATED TOOLCARRIER "",""PETROLEUM ENGINE "",""PETROLEUM PACKAGE "",""PETROLEUM TRANSMISSION "",""PIPELAYER "",""TRACK-TYPE TRACTOR "",""TRANSMISSION "",""TRANSMISSION-ONHIGHWAY "",""TRUCK "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR "",""WHEEL TRACTOR-SCRAPER Caterpillar""]","[[""725"",""725C"",""730"",""730C""],[""910G"",""914G""],[""730"",""730C""],[""IT14G"",""IT14G2"",""IT28G"",""IT38G""],[""C9""],[""CX31-C13I"",""CX31-C15I"",""CX31-C18I"",""CX31-C9I"",""TH35-C11I"",""TH35-C13I"",""TH35-C13T"",""TH35-C15I"",""TH35-C15T""],[""CX31-P600"",""TH31-E61"",""TH35-E81""],[""572R"",""572R II"",""578"",""583R"",""587R"",""587T"",""PL87""],[""D6D"",""D6E"",""D6G"",""D6G2 LGP"",""D6G2 XL"",""D6H"",""D6H XL"",""D6H XR"",""D6R"",""D6R II"",""D6R III"",""D6R STD"",""D6T"",""D6T LGP"",""D6T LGPPAT"",""D6T XL"",""D7E"",""D7E LGP"",""D7G"",""D7G2"",""D7H"",""D7R"",""D7R II"",""D7R XR"",""D8N"",""D8R"",""D8R II""],[""CX31""],[],[""797""],[""924G"",""924GZ"",""924H"",""924HZ"",""928G"",""928H"",""928HZ"",""930G"",""938G""],[""623E"",""623F"",""627E"",""657E"",""657G""],[""621E"",""621F"",""621G"",""621H"",""623G"",""623H"",""627E"",""627F"",""627G"",""627H"",""631E"",""631G"",""633E II"",""637E"",""637G""],[""621K"",""623K"",""623K LRC"",""627K"",""627K LRC""]]","[""/product/8E8300.png""]"
"DISC-THRUST 7T3138 - Caterpillar","[""CA7T3138"",""7T-3138"",""7T3138""]","Weight: 0.01 pounds 0 kg.",,"7T3138","[""COMPACT WHEEL LOADER "",""INTEGRATED TOOLCARRIER "",""PIPELAYER "",""TRACK-TYPE TRACTOR "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""914G""],[""IT14G"",""IT38G""],[""572G"",""578""],[""D6D"",""D6H"",""D6H XL"",""D6H XR"",""D7F"",""D7H"",""D8N""],[""938G""],[""621E"",""657E""],[""621E"",""621F"",""623B"",""623E"",""627E""]]","[""/product/7T3138.png""]"
"DISC-THRUST 8E8306 - Caterpillar","[""CA8E8306"",""8E-8306"",""8E8306""]","Weight: 0.01 pounds 0 kg.","ID  39.73  mm","8E8306","[""ARTICULATED TRUCK "",""EJECTOR TRUCK "",""PETROLEUM ENGINE "",""PETROLEUM PACKAGE "",""PETROLEUM TRANSMISSION "",""QUARRY TRUCK "",""TRACTOR "",""TRANSMISSION "",""TRANSMISSION-ONHIGHWAY "",""TRUCK "",""UNDERGROUND ART TRUCK Caterpillar""]","[[""725"",""725C"",""730"",""730C"",""735"",""735B"",""740"",""740B"",""D400E II""],[""730"",""730C"",""740"",""740B"",""D400E II""],[""C9""],[""CX31-C13I"",""CX31-C15I"",""CX31-C18I"",""CX31-C9I"",""TH35-C11I"",""TH35-C13I"",""TH35-C13T"",""TH35-C15I"",""TH35-C15T""],[""CX31-P600"",""TH31-E61"",""TH35-E81""],[""771C"",""771D""],[""768C""],[""CX31""],[],[""69D"",""769C"",""769D"",""770"",""770G"",""770G OEM"",""772"",""772G"",""772G OEM""],[""AD45B"",""AD55""]]","[""/product/8E8306.png""]"
"DISC-THRUST 8E8320 - Caterpillar","[""CA8E8320"",""8E-8320"",""8E8320""]","Weight: 0.04 pounds 0 kg.","ID  70.32  mm","8E8320","[""CHALLENGER Caterpillar""]","[[""65C"",""65E"",""75"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E""]]","[""/product/8E8320.png""]"
"DISC-THRUST 8E8308 - Caterpillar","[""CA8E8308"",""8E-8308"",""8E8308""]","Weight: 0.01 pounds 0 kg.","ID  42.9  mm","8E8308","[""ARTICULATED TRUCK "",""BACKHOE LOADER "",""CHALLENGER "",""EJECTOR TRUCK "",""PETROLEUM PACKAGE "",""PETROLEUM TRANSMISSION "",""QUARRY TRUCK "",""TRACTOR "",""TRANSMISSION-ONHIGHWAY "",""TRUCK "",""UNDERGROUND ART TRUCK Caterpillar""]","[[""735"",""735B"",""740"",""740B""],[""426""],[""35"",""45"",""55""],[""740"",""740B""],[""CX35-C18I"",""CX35-P800"",""TH35-C11I"",""TH35-C13I"",""TH35-C13T"",""TH35-C15I"",""TH35-C15T""],[""CX35-P800"",""TH35-E81""],[""775B"",""775D""],[""772B""],[""CX35""],[""773B"",""773D"",""773E"",""773F"",""773G"",""773G LRC"",""773G OEM"",""775D"",""775E"",""775F"",""775G"",""775G LRC"",""775G OEM""],[""AD55B"",""AD60""]]","[""/product/8E8308.png""]"
"DISC-THRUST 8E8319 - Caterpillar","[""CA8E8319"",""8E-8319"",""8E8319""]","Weight: 0.05 pounds 0 kg.","ID  70.32  mm","8E8319","[""CHALLENGER "",""MOTOR GRADER Caterpillar""]","[[""65C"",""65E"",""75"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E""],[""120H"",""120H ES"",""120H NA"",""120K"",""120K 2"",""120M"",""120M 2"",""12H"",""12H ES"",""12H NA"",""12K"",""12M"",""12M 2"",""12M 3"",""12M 3 AWD"",""135H"",""135H NA"",""140H"",""140H ES"",""140H NA"",""140K"",""140K 2"",""140M"",""140M 2"",""140M 3"",""140M 3 AWD"",""143H"",""14M"",""160H"",""160H ES"",""160H NA"",""160K"",""160M"",""160M 2"",""160M 3"",""160M 3 AWD"",""163H"",""163H NA"",""16M""]]","[""/product/8E8319.png""]"
"SEAL-LIP TYPE 7X4791 - Caterpillar","[""CA7X4791"",""7X-4791"",""7X4791""]","Weight: 0.20 pounds 0 kg.","AXIAL WIDTH  11.52  mm","7X4791","[""ARTICULATED TRUCK Caterpillar""]","[[""D250B"",""D250D"",""D250E"",""D250E II"",""D25C"",""D25D"",""D300B"",""D300D"",""D300E"",""D300E II"",""D30C"",""D350C"",""D350E"",""D350E II"",""D35C"",""D35HP"",""D400"",""D400E"",""D40D""]]","[""/product/7X4791.png""]"
"GUARD 3K0196 - Caterpillar","[""CA3K0196"",""3K-0196"",""3K0196""]","Weight: 0.40 pounds 0 kg.",,"3K0196","[""CHALLENGER "",""INTEGRATED TOOLCARRIER "",""LANDFILL COMPACTOR "",""LOAD HAUL DUMP "",""MOTOR GRADER "",""SOIL COMPACTOR "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL SKIDDER "",""WHEEL TRACTOR Caterpillar""]","[[""65"",""65C"",""65E"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E""],[""IT12B"",""IT14B"",""IT18B"",""IT28"",""IT28B""],[""816F"",""816F II""],[""R1300"",""R1300G"",""R1300G II"",""R1600"",""R1600G"",""R1600H"",""R1700 II"",""R1700G""],[""120H"",""120H ES"",""120H NA"",""120K"",""120K 2"",""12H"",""12H ES"",""12H NA"",""12K"",""135H"",""135H NA"",""140H"",""140H ES"",""140H NA"",""140K"",""140K 2"",""143H"",""160H"",""160H ES"",""160H NA"",""160K"",""163H"",""163H NA""],[""815"",""815B"",""815F"",""815F II""],[""814"",""814B"",""814F"",""814F II""],[""916"",""918F"",""920"",""926"",""930"",""930R"",""950"",""950B"",""966C"",""966D"",""966F"",""966F II"",""966G"",""966G II"",""966H"",""966K"",""966M"",""966M XE"",""966R"",""970F"",""972G"",""972G II"",""972H"",""972K"",""972M"",""972M XE""],[""615C""],[""508"",""518"",""528""],[""611"",""613"",""613B"",""615""]]","[""/product/3K0196.png"",""/product/3K0196_1.png""]"
"RETAINER 5S5912 - Caterpillar","[""CA5S5912"",""5S-5912"",""5S5912""]","Weight: 0.09 pounds 0 kg.",,"5S-5912","[""INDUSTRIAL ENGINE "",""MARINE ENGINE "",""MOTOR GRADER "",""PIPELAYER "",""TRACK LOADER "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""3304"",""3306""],[""3304"",""3306""],[""120"",""12G""],[""561C""],[""941""],[""D4D"",""D5"",""D5B"",""D6C""]]","[""/product/5S-5912.png"",""/product/5S-5912_1.png"",""/product/5S-5912_2.png"",""/product/5S-5912_3.png""]"
"FILM-PARKING BRAKE 5P6636 - Caterpillar","[""CA5P6636"",""5P-6636"",""5P6636""]",,,"5P6636","[""TRACK-TYPE TRACTOR Caterpillar""]","[[""D4E""]]","[""/product/5P6636.png"",""/product/5P6636.png""]"
"SEAL 5D4187 - Caterpillar","[""CA5D4187"",""5D-4187"",""5D4187""]","Weight: 0.05 pounds 0 kg.","BORE DIAMETER  0  mm","5D4187","[""MOTOR GRADER Caterpillar""]","[[""16""]]","[""/product/5D4187.png"",""/product/5D4187.png""]"
"WASHER-THRUST 5V1270 - Caterpillar","[""CA5V1270"",""5V-1270"",""5V1270""]","Weight: 0.13 pounds 0 kg.",,"5V1270","[""ARTICULATED TRUCK "",""INTEGRATED TOOLCARRIER "",""WHEEL LOADER "",""WHEEL SKIDDER Caterpillar""]","[[""D250B"",""D25C"",""D300B"",""D30C"",""D350C"",""D35C"",""D35HP"",""D400""],[""IT18B"",""IT18F"",""IT28"",""IT28F"",""IT28G"",""IT38F"",""IT38G""],[""916"",""918F"",""924F"",""926"",""928G"",""936"",""936F"",""938F"",""938G"",""950B"",""950B/950E"",""950F"",""950F II"",""950G"",""960F"",""966C"",""966R"",""G916"",""G936""],[""525""]]","[""/product/5V1270.png"",""/product/5V1270_1.png""]"
"STABILIZER-SEAL 6T5245 - Caterpillar","[""CA6T5245"",""6T-5245"",""6T5245""]","Weight: 0.03 pounds 0 kg.",,"6T5245","[""TRACK-TYPE TRACTOR Caterpillar""]","[[""D10"",""D11N"",""D11R""]]","[""/product/6T5245.png"",""/product/6T5245.png""]"
"SEAL 4D6742 - Caterpillar","[""CA4D6742"",""4D-6742"",""4D6742""]","Weight: 0.01 pounds 0 kg.","ID  33.274  mm","4D6742","[""TRACTOR "",""TRUCK "",""WHEEL TRACTOR Caterpillar""]","[[""768B""],[""769""],[""650B"",""666""]]","[""/product/4D6742.png"",""/product/4D6742_1.png""]"
"CLAMP 6N6404 - Caterpillar","[""CA6N6404"",""6N-6404"",""6N6404""]","Weight: 0.02 pounds 0 kg.","CENTERLINE TO CENTERLINE  14.2  mm","6N6404","[""BACKHOE LOADER "",""EXCAVATOR "",""GEN SET ENGINE "",""INDUSTRIAL ENGINE "",""MARINE ENGINE "",""MOTOR GRADER "",""PETROLEUM PACKAGE "",""PIPELAYER "",""SOIL COMPACTOR "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""TRUCK ENGINE "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL SKIDDER "",""WHEEL TRACTOR Caterpillar""]","[[""416"",""416B"",""428"",""428B""],[""215"",""225"",""235"",""330"",""330B L"",""350""],[""3306""],[""3304"",""3306""],[""3512"",""D353C""],[""120B"",""120G"",""12G"",""130G"",""140B"",""140G""],[""TH35-C15T""],[""594H""],[""815B""],[""941"",""955L"",""963"",""973"",""977K""],[""D4D"",""D4E"",""D5B"",""D6D"",""D7F"",""D9H""],[""1673C"",""3306"",""C15""],[""920"",""930"",""930R"",""950"",""950B"",""966C"",""966D"",""966F II"",""966R""],[""637D""],[""528""],[""627B""]]","[""/product/6N6404.png"",""/product/6N6404_1.png""]"
"ROTOCOIL AS 4P4962 - Caterpillar","[""CA4P4962"",""4P-4962"",""4P4962""]","Weight: 0.11 pounds 0 kg.",,"4P4962","[""ARTICULATED TRUCK "",""EJECTOR TRUCK "",""GEN SET ENGINE "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""LOAD HAUL DUMP "",""MARINE ENGINE "",""TRUCK ENGINE Caterpillar""]","[[""D350E II"",""D400E II""],[],[""3406E""],[],[""3456""],[""R2900""],[""3406E""],[""C-15"",""C-16""]]","[""/product/4P4962.png""]"
"SEAL 6V4649 - Caterpillar","[""CA6V4649"",""6V-4649"",""6V4649""]","Weight: 0.010 pounds 0 kg.","GROOVE AXIAL WIDTH  12.3  mm","6V4649","[""TRACK-TYPE TRACTOR Caterpillar""]","[[""D7H""]]","[""/product/6V4649.png"",""/product/6V4649_1.png"",""/product/6V4649_3.png""]"
"DISC-THRUST 8E8303 - Caterpillar","[""CA8E8303"",""8E-8303"",""8E8303""]","Weight: 0.01 pounds 0 kg.","ID  34.03  mm","8E8303","[""ARTICULATED TRUCK "",""CHALLENGER "",""PETROLEUM PACKAGE "",""PETROLEUM TRANSMISSION "",""PIPELAYER "",""TRACK-TYPE TRACTOR "",""TRANSMISSION-ONHIGHWAY "",""TRUCK Caterpillar""]","[[""735""],[""65"",""65C"",""65E"",""75"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E""],[""CX35-C18I"",""CX35-P800"",""TH35-C11I"",""TH35-C13I"",""TH35-C13T"",""TH35-C15I"",""TH35-C15T""],[""CX35-P800"",""TH35-E81""],[""572R"",""572R II"",""583R"",""583T"",""587R"",""587T"",""PL83"",""PL87""],[""D7E"",""D7E LGP"",""D7H"",""D7R"",""D7R II"",""D7R XR"",""D8N"",""D8R"",""D8R II"",""D8T""],[""CX35""],[""797""]]","[""/product/8E8303.png""]"
"STABILIZER-SEAL 7T4030 - Caterpillar","[""CA7T4030"",""7T-4030"",""7T4030""]","Weight: 0.24 pounds 0 kg.",,"7T4030","[""COLD PLANER "",""PIPELAYER "",""TRACK LOADER "",""TRACK SKIDDER "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""PM-565"",""PM-565B""],[""561M""],[""939"",""943"",""953""],[""D4HTSK II"",""D4HTSK III"",""D5HTSK II""],[""D4H"",""D4H XL"",""D5C III"",""D5H"",""D5H XL"",""D5M"",""D6M""]]","[""/product/7T4030.png""]"
"RING-SEAL EXTENSION 8E5734 - Caterpillar","[""CA8E5734"",""8E-5734"",""8E5734""]","Weight: 0.01 pounds 0 kg.","AXIAL LIP  4.06  mm","8E5734","[""MOTOR GRADER Caterpillar""]","[[""120H"",""120H ES"",""120H NA"",""120K"",""120K 2"",""120M"",""120M 2"",""12H"",""12H ES"",""12H NA"",""12K"",""12M"",""12M 2"",""12M 3"",""12M 3 AWD"",""135H"",""135H NA"",""140H"",""140H ES"",""140H NA"",""140K"",""140K 2"",""140M"",""140M 2"",""140M 3"",""140M 3 AWD"",""143H"",""160H"",""160H ES"",""160H NA"",""160K"",""160M"",""160M 2"",""160M 3"",""160M 3 AWD"",""163H"",""163H NA""]]","[""/product/8E5734.png""]"
"RETAINER 7F7782 - Caterpillar","[""CA7F7782"",""7F-7782"",""7F7782""]","Weight: 0.03 pounds 0 kg.",,"7F7782","[""ARTICULATED TRUCK "",""SOIL COMPACTOR "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR "",""WHEELED EXCAVATOR Caterpillar""]","[[""D25C"",""D25D"",""D30C"",""D350C"",""D35C"",""D35HP"",""D400"",""D40D""],[""815"",""815B""],[""814"",""814B""],[""966C"",""966D"",""980B""],[""615C"",""621"",""621E"",""621G"",""623B"",""623E"",""623F"",""623G"",""627"",""627B"",""627E"",""627G"",""630A"",""630B"",""631D"",""631E"",""631G"",""633"",""633D"",""633E"",""637"",""637B"",""637E"",""637G""],[""611"",""615"",""621"",""621B"",""621E"",""621F"",""621G"",""621R"",""623E"",""623G"",""627B"",""627E"",""627F"",""627G"",""631C"",""631E"",""631G"",""633C"",""633E II"",""637D"",""637E"",""637G""],[""M325B""]]","[""/product/7F7782.png""]"
"SEAL 7K9209 - Caterpillar","[""CA7K9209"",""7K-9209"",""7K9209""]","Weight: 0.05 pounds 0 kg.","AXIAL WIDTH  7.92  mm","7K9209","[""COMPACT WHEEL LOADER "",""EXCAVATOR "",""INTEGRATED TOOLCARRIER "",""LOAD HAUL DUMP "",""LOGGER "",""TRACK LOADER "",""WHEEL LOADER Caterpillar""]","[[""914G""],[""215"",""215B"",""215C"",""215D"",""219D"",""225"",""225D"",""229"",""229D"",""235"",""235B"",""235C""],[""IT14G2"",""IT28G"",""IT38F"",""IT38G"",""IT38G II"",""IT38H"",""IT62G"",""IT62G II"",""IT62H""],[""R1300"",""R1300G"",""R1300G II"",""R1600""],[""227""],[""941"",""943"",""951B"",""953"",""953C"",""953D"",""955K"",""955L"",""963"",""963B"",""963C"",""963D"",""973"",""973C"",""973D""],[""916"",""918F"",""924F"",""924G"",""924GZ"",""924H"",""924HZ"",""924K"",""928G"",""928H"",""928HZ"",""930"",""930G"",""930K"",""930R"",""936"",""936F"",""938F"",""938G"",""938G II"",""938H"",""938K"",""950"",""950 GC"",""950B"",""950B/950E"",""950F"",""950F II"",""950G"",""950G II"",""950H"",""950K"",""960F"",""962G"",""962G II"",""962H"",""962K"",""966D"",""966F"",""966F II"",""966G"",""966G II"",""966H"",""966K"",""966M"",""966M XE"",""970F"",""972G"",""972G II"",""972H"",""972K"",""972M"",""972M XE"",""980B"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""980K"",""980K HLG"",""980M"",""982M"",""988"",""990H"",""G936""]]","[""/product/7K9209.png""]"
