"name","code","netweight","relatedPart","partnumber","compatibledescription-parca","compatibledescription-list","image"
"GASKET 2256451 - Caterpillar","[""CA2256451"",""225-6451"",""2256451""]","Weight: 0.17 pounds 0 kg.",,"225-6451","[""ASPHALT PAVER "",""BACKHOE LOADER "",""COMPACT WHEEL LOADER "",""EXCAVATOR "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""INTEGRATED TOOLCARRIER "",""PNEUMATIC COMPACTOR "",""TELEHANDLER "",""VIBRATORY COMPACTOR "",""WHEELED EXCAVATOR Caterpillar""]","[[""AP-300"",""AP-300D"",""AP-650B"",""AP-800D""],[""414E"",""416D"",""416E"",""416F"",""420D"",""420E"",""420F"",""422E"",""422F"",""424D"",""428D"",""428E"",""428F"",""430D"",""430E"",""430F"",""432D"",""432E"",""432F"",""434E"",""434F"",""442D"",""442E"",""444E"",""444F""],[""914G""],[""312D2"",""312D2 GC"",""312D2 L"",""313D2"",""313D2 LGP"",""315C"",""318D2 L""],[""C4.4""],[""3054C"",""3054E"",""C4.4""],[""IT14G""],[""PF-300C"",""PS-150C"",""PS-360C""],[""TH210"",""TH215"",""TH220B"",""TH330B"",""TH340B"",""TH350B"",""TH355B"",""TH460B"",""TH560B"",""TH580B""],[""CB-434D"",""CB-534D"",""CB-564D"",""CD-54"",""CP-433E"",""CP-533E"",""CS-323C"",""CS-423E"",""CS-433E"",""CS-533E""],[""M313C"",""M315C""]]","[""/product/225-6451.png"",""/product/225-6451.png""]"
"GASKET 2335483 - Caterpillar","[""CA2335483"",""233-5483"",""2335483""]","Weight: 0.09 pounds 0 kg.",,"233-5483","[""COMPACT TRACK LOADER "",""COMPACT WHEEL LOADER "",""INDUSTRIAL ENGINE "",""MULTI TERRAIN LOADER "",""SKID STEER LOADER Caterpillar""]","[[""259B3"",""279C"",""279C2"",""289C"",""289C2"",""299C""],[""906"",""906H"",""907H"",""908"",""908H""],[""3044C"",""C3.4""],[""257B3"",""267B"",""277C"",""277C2"",""287C"",""287C2"",""297C""],[""236B"",""236B3"",""242B3"",""246C"",""252B"",""252B3"",""256C"",""262C"",""262C2"",""268B"",""272C""]]","[""/product/233-5483.png"",""/product/233-5483.png""]"
"ROTOCOIL ASSEM. 1S3028 - Caterpillar","[""CA1S3028"",""1S-3028"",""1S3028""]","Weight: 0.03 pounds 0 kg.",,"1S-3028","[""MARINE ENGINE "",""TRUCK ENGINE "",""WHEEL LOADER "",""WHEEL TRACTOR Caterpillar""]","[[""D334"",""D336""],[""1674"",""1676""],[""980""],[""621""]]","[""/product/1S-3028.png"",""/product/1S-3028_1.png""]"
"PAD AS 2152891 - Caterpillar","[""CA2152891"",""215-2891"",""2152891""]","Weight: 0.31 pounds 0 kg.",,"215-2891","[""TELEHANDLER Caterpillar""]","[[""TH220B"",""TH330B""]]","[""/product/215-2891.png"",""/product/215-2891_1.png"",""/product/215-2891_2.png""]"
"MOUNT-FLEXIBLE 1943686 - Caterpillar","[""CA1943686"",""194-3686"",""1943686""]","Weight: 0.21 pounds 0 kg.",,"194-3686","[""WHEELED EXCAVATOR Caterpillar""]","[[""M312"",""M315"",""M318"",""M320""]]","[""/product/194-3686.png"",""/product/194-3686_1.png""]"
"RETAINER-G.E.T. 2209090 - Caterpillar","[""CA2209090"",""220-9090"",""2209090""]","Weight: 0.24 pounds 0 kg.",,"220-9090","[""EXCAVATOR "",""TRACK LOADER "",""WHEEL LOADER "",""WHEELED EXCAVATOR Caterpillar""]","[[""315C"",""315D L"",""316E L"",""318C"",""318D2 L"",""319C"",""319D"",""319D LN"",""320C"",""320D"",""320D L"",""320D LN"",""320D LRR"",""320D RR"",""320D2"",""320E L"",""320E LN"",""320E LRR"",""321C"",""321D LCR"",""322B L"",""322C"",""323D L"",""323D LN"",""323D SA"",""323D2 L"",""323E L"",""324D"",""324D L"",""324D LN"",""324E"",""324E L"",""324E LN"",""325B L"",""325C"",""325D"",""325D L"",""328D LCR"",""329D"",""329D L"",""329D LN"",""329E"",""329E L"",""329E LN"",""330C"",""330C L"",""330D L"",""330D LN"",""336D"",""336D L"",""336D LN"",""336D2"",""336E L"",""336E LH"",""336E LN"",""336F L"",""345C"",""345C L""],[""953C"",""953D"",""963C"",""963D"",""973C"",""973D""],[""938G II"",""938H"",""950 GC"",""950G"",""950G II"",""950H"",""950K"",""960F"",""962G"",""962G II"",""962H"",""962K"",""966G II"",""966H"",""966K"",""966M"",""966M XE"",""972G II"",""972H"",""972K"",""972M"",""972M XE"",""980G II"",""980H"",""980K"",""980M"",""982M""],[""M315C"",""M315D"",""M316C"",""M316D"",""M317D2"",""M318C"",""M318C MH"",""M318D"",""M318D MH"",""M322C"",""M322D"",""M322D MH""]]","[""/product/220-9090.png"",""/product/220-9090_1.png""]"
"MOUNT-FLEXIBLE 2047786 - Caterpillar","[""CA2047786"",""204-7786"",""2047786""]","Weight: 0.22 pounds 0 kg.",,"204-7786","[""WHEELED EXCAVATOR Caterpillar""]","[[""M318"",""M320""]]","[""/product/204-7786.png"",""/product/204-7786_1.png"",""/product/204-7786_2.png""]"
"PAD AS 2573130 - Caterpillar","[""CA2573130"",""257-3130"",""2573130""]","Weight: 0.22 pounds 0 kg.",,"257-3130","[""BACKHOE LOADER Caterpillar""]","[[""428E"",""432E"",""434E"",""442E"",""444E""]]","[""/product/257-3130.png"",""/product/257-3130_1.png"",""/product/257-3130_2.png""]"
"PAD AS 2183076 - Caterpillar","[""CA2183076"",""218-3076"",""2183076""]","Weight: 0.39 pounds 0 kg.",,"218-3076","[""TELEHANDLER Caterpillar""]","[[""TH220B"",""TH330B"",""TH340B"",""TH350B"",""TH355B"",""TH460B"",""TH560B"",""TH580B""]]","[""/product/218-3076.png"",""/product/218-3076.png""]"
"SEAL-TRACK 1793426 - Caterpillar","[""CA1793426"",""179-3426"",""1793426""]","Weight: 0.04 pounds 0 kg.",,"179-3426","[""EXCAVATOR "",""MOBILE HYD POWER UNIT "",""TRACK FELLER BUNCHER "",""UNDERCARRIAGE Caterpillar""]","[[""312D"",""325C"",""328D LCR"",""330B"",""330C"",""330C FM"",""330C L"",""330C MH"",""330D"",""330D L"",""330D LN"",""330D MH"",""336D"",""336D L"",""336D LN"",""336D2"",""336D2 L"",""336E"",""336E H"",""336E L"",""336E LH"",""336E LN"",""336F L"",""340D L"",""340D2 L"",""345D""],[""330D"",""336D L"",""336E HVG"",""345C L"",""349D L""],[""1290T"",""1390"",""2491"",""2590"",""521B"",""522B"",""532"",""541"",""541 2"",""TK1051"",""TK732""],[""OEMS""]]","[""/product/179-3426.png"",""/product/179-3426.png""]"
"PAD 1931681 - Caterpillar","[""CA1931681"",""193-1681"",""1931681""]","Weight: 0.09 pounds 0 kg.",,"193-1681","[""BACKHOE LOADER Caterpillar""]","[[""422E"",""422F"",""424D"",""428C"",""428D"",""428E"",""428F"",""432D"",""432E"",""432F"",""434E"",""434F"",""438C"",""438D"",""442D"",""442E"",""444E"",""444F""]]","[""/product/193-1681.png"",""/product/193-1681_2.png""]"
