"name","code","netweight","relatedPart","partnumber","compatibledescription"
"GASKET 2256451 - Caterpillar","[""CA2256451"",""225-6451"",""2256451""]","Weight: 0.17 pounds 0 kg.",,"225-6451","[{""parca"":""ASPHALT PAVER "",""list"":[""AP-300"",""AP-300D"",""AP-650B"",""AP-800D""]},{""parca"":""BACKHOE LOADER "",""list"":[""414E"",""416D"",""416E"",""416F"",""420D"",""420E"",""420F"",""422E"",""422F"",""424D"",""428D"",""428E"",""428F"",""430D"",""430E"",""430F"",""432D"",""432E"",""432F"",""434E"",""434F"",""442D"",""442E"",""444E"",""444F""]},{""parca"":""COMPACT WHEEL LOADER "",""list"":[""914G""]},{""parca"":""EXCAVATOR "",""list"":[""312D2"",""312D2 GC"",""312D2 L"",""313D2"",""313D2 LGP"",""315C"",""318D2 L""]},{""parca"":""GENERATOR SET "",""list"":[""C4.4""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3054C"",""3054E"",""C4.4""]},{""parca"":""INTEGRATED TOOLCARRIER "",""list"":[""IT14G""]},{""parca"":""PNEUMATIC COMPACTOR "",""list"":[""PF-300C"",""PS-150C"",""PS-360C""]},{""parca"":""TELEHANDLER "",""list"":[""TH210"",""TH215"",""TH220B"",""TH330B"",""TH340B"",""TH350B"",""TH355B"",""TH460B"",""TH560B"",""TH580B""]},{""parca"":""VIBRATORY COMPACTOR "",""list"":[""CB-434D"",""CB-534D"",""CB-564D"",""CD-54"",""CP-433E"",""CP-533E"",""CS-323C"",""CS-423E"",""CS-433E"",""CS-533E""]},{""parca"":""WHEELED EXCAVATOR Caterpillar"",""list"":[""M313C"",""M315C""]}]"
"GASKET 2335483 - Caterpillar","[""CA2335483"",""233-5483"",""2335483""]","Weight: 0.09 pounds 0 kg.",,"233-5483","[{""parca"":""COMPACT TRACK LOADER "",""list"":[""259B3"",""279C"",""279C2"",""289C"",""289C2"",""299C""]},{""parca"":""COMPACT WHEEL LOADER "",""list"":[""906"",""906H"",""907H"",""908"",""908H""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3044C"",""C3.4""]},{""parca"":""MULTI TERRAIN LOADER "",""list"":[""257B3"",""267B"",""277C"",""277C2"",""287C"",""287C2"",""297C""]},{""parca"":""SKID STEER LOADER Caterpillar"",""list"":[""236B"",""236B3"",""242B3"",""246C"",""252B"",""252B3"",""256C"",""262C"",""262C2"",""268B"",""272C""]}]"
"ROTOCOIL ASSEM. 1S3028 - Caterpillar","[""CA1S3028"",""1S-3028"",""1S3028""]","Weight: 0.03 pounds 0 kg.",,"1S-3028","[{""parca"":""MARINE ENGINE "",""list"":[""D334"",""D336""]},{""parca"":""TRUCK ENGINE "",""list"":[""1674"",""1676""]},{""parca"":""WHEEL LOADER "",""list"":[""980""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""621""]}]"
"PAD AS 2152891 - Caterpillar","[""CA2152891"",""215-2891"",""2152891""]","Weight: 0.31 pounds 0 kg.",,"215-2891","[{""parca"":""TELEHANDLER Caterpillar"",""list"":[""TH220B"",""TH330B""]}]"
"MOUNT-FLEXIBLE 1943686 - Caterpillar","[""CA1943686"",""194-3686"",""1943686""]","Weight: 0.21 pounds 0 kg.",,"194-3686","[{""parca"":""WHEELED EXCAVATOR Caterpillar"",""list"":[""M312"",""M315"",""M318"",""M320""]}]"
"RETAINER-G.E.T. 2209090 - Caterpillar","[""CA2209090"",""220-9090"",""2209090""]","Weight: 0.24 pounds 0 kg.",,"220-9090","[{""parca"":""EXCAVATOR "",""list"":[""315C"",""315D L"",""316E L"",""318C"",""318D2 L"",""319C"",""319D"",""319D LN"",""320C"",""320D"",""320D L"",""320D LN"",""320D LRR"",""320D RR"",""320D2"",""320E L"",""320E LN"",""320E LRR"",""321C"",""321D LCR"",""322B L"",""322C"",""323D L"",""323D LN"",""323D SA"",""323D2 L"",""323E L"",""324D"",""324D L"",""324D LN"",""324E"",""324E L"",""324E LN"",""325B L"",""325C"",""325D"",""325D L"",""328D LCR"",""329D"",""329D L"",""329D LN"",""329E"",""329E L"",""329E LN"",""330C"",""330C L"",""330D L"",""330D LN"",""336D"",""336D L"",""336D LN"",""336D2"",""336E L"",""336E LH"",""336E LN"",""336F L"",""345C"",""345C L""]},{""parca"":""TRACK LOADER "",""list"":[""953C"",""953D"",""963C"",""963D"",""973C"",""973D""]},{""parca"":""WHEEL LOADER "",""list"":[""938G II"",""938H"",""950 GC"",""950G"",""950G II"",""950H"",""950K"",""960F"",""962G"",""962G II"",""962H"",""962K"",""966G II"",""966H"",""966K"",""966M"",""966M XE"",""972G II"",""972H"",""972K"",""972M"",""972M XE"",""980G II"",""980H"",""980K"",""980M"",""982M""]},{""parca"":""WHEELED EXCAVATOR Caterpillar"",""list"":[""M315C"",""M315D"",""M316C"",""M316D"",""M317D2"",""M318C"",""M318C MH"",""M318D"",""M318D MH"",""M322C"",""M322D"",""M322D MH""]}]"
"MOUNT-FLEXIBLE 2047786 - Caterpillar","[""CA2047786"",""204-7786"",""2047786""]","Weight: 0.22 pounds 0 kg.",,"204-7786","[{""parca"":""WHEELED EXCAVATOR Caterpillar"",""list"":[""M318"",""M320""]}]"
"PAD AS 2573130 - Caterpillar","[""CA2573130"",""257-3130"",""2573130""]","Weight: 0.22 pounds 0 kg.",,"257-3130","[{""parca"":""BACKHOE LOADER Caterpillar"",""list"":[""428E"",""432E"",""434E"",""442E"",""444E""]}]"
"PAD AS 2183076 - Caterpillar","[""CA2183076"",""218-3076"",""2183076""]","Weight: 0.39 pounds 0 kg.",,"218-3076","[{""parca"":""TELEHANDLER Caterpillar"",""list"":[""TH220B"",""TH330B"",""TH340B"",""TH350B"",""TH355B"",""TH460B"",""TH560B"",""TH580B""]}]"
"SEAL-TRACK 1793426 - Caterpillar","[""CA1793426"",""179-3426"",""1793426""]","Weight: 0.04 pounds 0 kg.",,"179-3426","[{""parca"":""EXCAVATOR "",""list"":[""312D"",""325C"",""328D LCR"",""330B"",""330C"",""330C FM"",""330C L"",""330C MH"",""330D"",""330D L"",""330D LN"",""330D MH"",""336D"",""336D L"",""336D LN"",""336D2"",""336D2 L"",""336E"",""336E H"",""336E L"",""336E LH"",""336E LN"",""336F L"",""340D L"",""340D2 L"",""345D""]},{""parca"":""MOBILE HYD POWER UNIT "",""list"":[""330D"",""336D L"",""336E HVG"",""345C L"",""349D L""]},{""parca"":""TRACK FELLER BUNCHER "",""list"":[""1290T"",""1390"",""2491"",""2590"",""521B"",""522B"",""532"",""541"",""541 2"",""TK1051"",""TK732""]},{""parca"":""UNDERCARRIAGE Caterpillar"",""list"":[""OEMS""]}]"
