"name","code","netweight","relatedPart","partnumber","compatibledescription"
"SEAL-LIP TYPE 0964443 - Caterpillar","[""CA0964443"",""096-4443"",""0964443""]","Weight: 0.03 pounds 0 kg.",,"096-4443","[{""parca"":""EXCAVATOR "",""list"":[""318B"",""320"",""320 L"",""320B"",""320B L"",""320N"",""E200B""]},{""parca"":""TRACK FELLER BUNCHER Caterpillar"",""list"":[""1190T"",""1290T"",""2391"",""2491"",""522"",""522B"",""532"",""552"",""552 2"",""TK722"",""TK732"",""TK752""]}]"
"GASKET-VALVE COVER 1095309 - Caterpillar","[""CA1095309"",""109-5309"",""1095309""]","Weight: 0.42 pounds 0 kg.",,"109-5309","[{""parca"":""ARTICULATED TRUCK "",""list"":[""725"",""730""]},{""parca"":""CHALLENGER "",""list"":[""65E"",""75"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E"",""MTC835""]},{""parca"":""COMBINE "",""list"":[""480""]},{""parca"":""EXCAVATOR "",""list"":[""345B"",""345B II"",""345B II MH"",""345B L"",""365B"",""365B II"",""365B L""]},{""parca"":""GEN SET ENGINE "",""list"":[""C-12""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3176B"",""3176C"",""3196"",""C-10"",""C-12""]},{""parca"":""LANDFILL COMPACTOR "",""list"":[""816F""]},{""parca"":""LOAD HAUL DUMP "",""list"":[""R1600"",""R1600G"",""R1700G""]},{""parca"":""MARINE ENGINE "",""list"":[""3176B"",""3176C"",""3196"",""C-12"",""C12""]},{""parca"":""MOTOR GRADER "",""list"":[""140H"",""143H"",""14H"",""160H"",""163H"",""16H""]},{""parca"":""PIPELAYER "",""list"":[""572R II""]},{""parca"":""PUMPER "",""list"":[""CPT372"",""SBF214"",""SUF557""]},{""parca"":""SOIL COMPACTOR "",""list"":[""815F""]},{""parca"":""TRACK FELLER BUNCHER "",""list"":[""TK1051""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D7R II""]},{""parca"":""TRUCK ENGINE "",""list"":[""3176"",""3176B"",""C-10"",""C-12""]},{""parca"":""WHEEL DOZER "",""list"":[""814F""]},{""parca"":""WHEEL LOADER "",""list"":[""966G II"",""972G II""]},{""parca"":""WHEELED EXCAVATOR Caterpillar"",""list"":[""W345B II""]}]"
"PAD AS 7T4797 - Caterpillar","[""CA7T4797"",""7T-4797"",""7T4797""]","Weight: 5 pounds 2 kg.",,"7T4797","[{""parca"":""TRACK-TYPE TRACTOR Caterpillar"",""list"":[""D8N""]}]"
"COUPLING 2P5769 - Caterpillar","[""CA2P5769"",""2P-5769"",""2P5769""]","Weight: 2 pounds 0 kg.","2P5769  COUPLING-YM  3949812  CL","2P5769","[{""parca"":""MOTOR GRADER Caterpillar"",""list"":[""120G"",""12G"",""130G"",""140G"",""14G"",""14H NA"",""160G"",""16G"",""16H NA""]}]"
"SEAL-RING 1237270 - Caterpillar","[""CA1237270"",""123-7270"",""1237270""]","Weight: 0.14 pounds 0 kg.","ID  536  mm","123-7270","[{""parca"":""TRACTOR "",""list"":[""784B"",""784C""]},{""parca"":""TRUCK Caterpillar"",""list"":[""785"",""785B"",""785C"",""785D"",""789"",""789B"",""789C"",""789D"",""793B"",""793C"",""793D"",""793F"",""793F CMD"",""793F OEM"",""793F XQ""]}]"
"SEAL-INTEGRAL 1264935 - Caterpillar","[""CA1264935"",""126-4935"",""1264935""]","Weight: 0.03 pounds 0 kg.",,"126-4935","[{""parca"":""ARTICULATED TRUCK "",""list"":[""735"",""735B"",""740"",""740B""]},{""parca"":""CHALLENGER "",""list"":[""MTC835""]},{""parca"":""COLD PLANER "",""list"":[""PM-200"",""PM-201""]},{""parca"":""EJECTOR TRUCK "",""list"":[""740"",""740B""]},{""parca"":""EXCAVATOR "",""list"":[""365C"",""365C L"",""365C L MH"",""374D L"",""374F L"",""385B"",""385C"",""385C FS"",""385C L"",""385C L MH"",""390D"",""390D L"",""390F L""]},{""parca"":""FRONT SHOVEL "",""list"":[""385C"",""5090B""]},{""parca"":""GEN SET ENGINE "",""list"":[""3406E"",""3456""]},{""parca"":""GENERATOR SET "",""list"":[""3406E"",""3456"",""C15"",""C15 I6"",""C18"",""C18 I6""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3406E"",""3456"",""C-15"",""C-16"",""C15"",""C18""]},{""parca"":""LANDFILL COMPACTOR "",""list"":[""826G II"",""826H"",""826K"",""836G"",""836H"",""836K""]},{""parca"":""LOAD HAUL DUMP "",""list"":[""R2900"",""R2900G"",""R3000H""]},{""parca"":""MARINE ENGINE "",""list"":[""3406E"",""C15"",""C18""]},{""parca"":""MOBILE HYD POWER UNIT "",""list"":[""365C L"",""385C"",""385C L""]},{""parca"":""MOTOR GRADER "",""list"":[""24M""]},{""parca"":""PETROLEUM ENGINE "",""list"":[""C-15"",""C15"",""C18""]},{""parca"":""PETROLEUM GEN SET "",""list"":[""C15"",""C18""]},{""parca"":""PETROLEUM PACKAGE "",""list"":[""CX31-C15I"",""CX31-C18I"",""CX35-C18I"",""CX35-P800"",""TH35-C15I""]},{""parca"":""PIPELAYER "",""list"":[""583T"",""587T"",""PL83"",""PL87""]},{""parca"":""POWER MODULE "",""list"":[""C18"",""PM3456""]},{""parca"":""RECLAIMER MIXER "",""list"":[""RM-500""]},{""parca"":""SOIL COMPACTOR "",""list"":[""825G II"",""825H"",""825K""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D8R"",""D8R II"",""D8T"",""D9T""]},{""parca"":""TRUCK "",""list"":[""770"",""770G"",""770G OEM"",""772"",""772G"",""772G OEM""]},{""parca"":""TRUCK ENGINE "",""list"":[""3406E"",""C-15"",""C-16"",""C-18"",""C15"",""C16"",""C18""]},{""parca"":""UNDERGROUND ART TRUCK "",""list"":[""AD30"",""AD45B"",""AD55""]},{""parca"":""WHEEL DOZER "",""list"":[""824C"",""824G"",""824G II"",""824H"",""824K"",""834G"",""834H"",""834K""]},{""parca"":""WHEEL LOADER "",""list"":[""980G"",""980G II"",""980H"",""986H"",""988G"",""988H"",""988K""]},{""parca"":""WHEEL SCRAPER "",""list"":[""621G"",""623E"",""623F"",""623G"",""627G"",""631G"",""657B"",""657E"",""657G""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""621B"",""621F"",""621G"",""621H"",""623G"",""623H"",""627B"",""627F"",""627G"",""627H"",""631D"",""631E"",""631G"",""633E II"",""637D"",""637E"",""637G"",""651B"",""657E"",""657G""]}]"
"SEAL 1179315 - Caterpillar","[""CA1179315"",""117-9315"",""1179315""]","Weight: 0.01 pounds 0 kg.",,"117-9315","[{""parca"":""GEN SET ENGINE "",""list"":[""3508B"",""3512B"",""3516B""]},{""parca"":""GENERATOR SET "",""list"":[""3508"",""3508B"",""3512B"",""3516B""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3508B"",""3512"",""3512B"",""3516B""]},{""parca"":""LOCOMOTIVE ENGINE "",""list"":[""3508B"",""3512B"",""3516B""]},{""parca"":""MARINE AUXILIARY "",""list"":[""3508B"",""3512B"",""3516B""]},{""parca"":""MARINE ENGINE "",""list"":[""3508B"",""3512B"",""3516B"",""3516C""]},{""parca"":""MINING EXCAVATOR "",""list"":[""5130B"",""5230B""]},{""parca"":""PETROLEUM TRANSMISSION "",""list"":[""TH55-E70""]},{""parca"":""POWER MODULE "",""list"":[""PM3508"",""PM3512"",""PM3516"",""PP3516""]},{""parca"":""PUMPER "",""list"":[""SPF343"",""SPS343"",""SPT343""]},{""parca"":""REMAN ENGINE "",""list"":[""3516B""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D11N"",""D11R""]},{""parca"":""TRACTOR "",""list"":[""776D"",""784C""]},{""parca"":""TRUCK "",""list"":[""777"",""777D"",""785C"",""789C"",""793C"",""797"",""797B""]},{""parca"":""WHEEL DOZER "",""list"":[""854G""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""992G"",""994D""]}]"
"GUARD 3K9608 - Caterpillar","[""CA3K9608"",""3K-9608"",""3K9608""]","Weight: 0.70 pounds 0 kg.","3K9608  GUARD-YM  3741447  CL","3K9608","[{""parca"":""ARTICULATED TRUCK "",""list"":[""D35C"",""D35HP"",""D40D"",""D44B"",""D550B""]},{""parca"":""CHALLENGER "",""list"":[""65"",""65C"",""65E"",""75"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E""]},{""parca"":""LANDFILL COMPACTOR "",""list"":[""826C"",""836"",""836G"",""836H"",""836K""]},{""parca"":""LOAD HAUL DUMP "",""list"":[""R2900"",""R2900G"",""R3000H""]},{""parca"":""RECLAIMER MIXER "",""list"":[""RM-350B""]},{""parca"":""ROAD RECLAIMER "",""list"":[]},{""parca"":""SOIL COMPACTOR "",""list"":[""825B"",""825C""]},{""parca"":""STABILIZER MIXER "",""list"":[""SM-350""]},{""parca"":""UNDERGROUND ART TRUCK "",""list"":[""AD40"",""AD45"",""AE40"",""AE40 II""]},{""parca"":""WHEEL DOZER "",""list"":[""824"",""824B"",""824C"",""834"",""834B"",""834G"",""834H"",""834K""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""980"",""980B"",""980C"",""986H"",""988"",""988B"",""988F"",""988F II"",""988G"",""988H"",""988K"",""992"",""992C"",""992D"",""994"",""994D"",""994F"",""994H""]}]"
"SEAL-RING 1237266 - Caterpillar","[""CA1237266"",""123-7266"",""1237266""]","Weight: 0.08 pounds 0 kg.","ID  358.65  mm","123-7266","[{""parca"":""ARTICULATED TRUCK "",""list"":[""D40D""]},{""parca"":""MOTOR GRADER "",""list"":[""24H"",""24M""]},{""parca"":""QUARRY TRUCK "",""list"":[""771C"",""771D""]},{""parca"":""TRUCK "",""list"":[""69D"",""769C"",""769D""]},{""parca"":""UNDERGROUND ART TRUCK Caterpillar"",""list"":[""AD40"",""AD45"",""AD45B"",""AE40""]}]"
"SLIDE 9G8634 - Caterpillar","[""CA9G8634"",""9G-8634"",""9G8634""]","Weight: 0.20 pounds 0 kg.",,"9G8634","[{""parca"":""TRACK-TYPE TRACTOR Caterpillar"",""list"":[""D8L"",""D9L""]}]"
"DISC-THRUST 2825042 - Caterpillar","[""CA2825042"",""282-5042"",""2825042""]","Weight: 0.02 pounds 0 kg.","ID  42.9  mm","282-5042","[{""parca"":""BACKHOE LOADER "",""list"":[""416B"",""428B""]},{""parca"":""LANDFILL COMPACTOR "",""list"":[""826C"",""826G"",""826G II"",""826H"",""826K"",""836"",""836G"",""836H"",""836K""]},{""parca"":""LOAD HAUL DUMP "",""list"":[""R2900G"",""R3000H""]},{""parca"":""PETROLEUM TRANSMISSION "",""list"":[""CX48-P2300"",""TH48-E70"",""TH48-E80""]},{""parca"":""PIPELAYER "",""list"":[""589""]},{""parca"":""PUMPER "",""list"":[""SPF343C""]},{""parca"":""SOIL COMPACTOR "",""list"":[""825G"",""825G II"",""825H"",""825K""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D10N"",""D10R"",""D10T"",""D10T2"",""D9R"",""D9T""]},{""parca"":""TRACTOR "",""list"":[""776C"",""776D"",""784B"",""784C""]},{""parca"":""TRUCK "",""list"":[""777D"",""777F"",""777G"",""785B"",""785C"",""785D"",""789B"",""789C"",""789D"",""793B"",""793C"",""793D"",""793F"",""793F CMD"",""793F OEM"",""793F XQ""]},{""parca"":""UNDERGROUND ART TRUCK "",""list"":[""AD30""]},{""parca"":""WHEEL DOZER "",""list"":[""824G"",""824G II"",""824K"",""834H"",""834K""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""980G"",""980G II"",""980H"",""980K"",""980K HLG"",""980M"",""982M"",""986H"",""988H"",""988K""]}]"
"SPRING 3W8241 - Caterpillar","[""CA3W8241"",""3W-8241"",""3W8241""]","Weight: 0.11 pounds 0 kg.","HEIGHT  2.05  mm","3W8241","[{""parca"":""TRACK LOADER Caterpillar"",""list"":[""973"",""973C""]}]"
"SEAL-LIP TYPE 5P4061 - Caterpillar","[""CA5P4061"",""5P-4061"",""5P4061""]","Weight: 0.010 pounds 0 kg.","AXIAL WIDTH  9.52  mm","5P4061","[{""parca"":""EXCAVATOR "",""list"":[""215C""]},{""parca"":""RIPPER "",""list"":[""10""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D10"",""D10N"",""D11N"",""D8L"",""D9L""]},{""parca"":""WHEEL DOZER Caterpillar"",""list"":[""854G""]}]"
"SEAL 5D6618 - Caterpillar","[""CA5D6618"",""5D-6618"",""5D6618""]","Weight: 0.05 pounds 0 kg.","BORE DIAMETER  0  mm","5D6618","[{""parca"":""MOTOR GRADER Caterpillar"",""list"":[""16""]}]"
"MOUNT 1388862 - Caterpillar","[""CA1388862"",""138-8862"",""1388862""]","Weight: 1 pounds 0 kg.",,"138-8862","[{""parca"":""LANDFILL COMPACTOR "",""list"":[""826K"",""836G"",""836H""]},{""parca"":""SOIL COMPACTOR "",""list"":[""825K""]},{""parca"":""TRACK FELLER BUNCHER "",""list"":[""1090"",""1190"",""1190T"",""1290T"",""TK1051"",""TK711"",""TK721"",""TK722"",""TK732"",""TK741"",""TK751"",""TK752""]},{""parca"":""TRACK LOADER "",""list"":[""973C""]},{""parca"":""UNDERGROUND ART TRUCK "",""list"":[""AD30"",""AD45B""]},{""parca"":""WHEEL DOZER "",""list"":[""824K"",""834G"",""834H""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""986H"",""988G"",""988H""]}]"
"CLAMP-FUEL LINE 7C6525 - Caterpillar","[""CA7C6525"",""7C-6525"",""7C6525""]","Weight: 0.05 pounds 0 kg.",,"7C6525","[{""parca"":""COLD PLANER "",""list"":[""PM-565"",""PR-1000"",""PR-450"",""PR-450C"",""PR-750B""]},{""parca"":""GEN SET ENGINE "",""list"":[""3408"",""3412"",""3412C""]},{""parca"":""GENERATOR SET "",""list"":[""3408C"",""3412C""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3408"",""3408C"",""3412"",""3412C""]},{""parca"":""MARINE ENGINE "",""list"":[""3408"",""3408B"",""3408C"",""3412"",""3412C"",""3412D""]},{""parca"":""PIPELAYER "",""list"":[""589""]},{""parca"":""POWER MODULE "",""list"":[""PM3412""]},{""parca"":""PUMPER "",""list"":[""SCT673"",""SPS342"",""SPT342""]},{""parca"":""QUARRY TRUCK "",""list"":[""771C"",""775B""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D10N"",""D7H"",""D8L"",""D9N"",""D9R""]},{""parca"":""TRACTOR "",""list"":[""772B""]},{""parca"":""TRUCK "",""list"":[""769C"",""773B""]},{""parca"":""TRUCK ENGINE "",""list"":[""3306C"",""3408""]},{""parca"":""WHEEL DOZER "",""list"":[""834B""]},{""parca"":""WHEEL LOADER "",""list"":[""988B"",""988F"",""990"",""992C"",""992D""]},{""parca"":""WHEEL SCRAPER "",""list"":[""637E"",""657E""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""627E"",""631E"",""637E"",""651E"",""657E""]}]"
"SEAL-INTEGRAL 1272176 - Caterpillar","[""CA1272176"",""127-2176"",""1272176""]","Weight: 0.01 pounds 0 kg.",,"127-2176","[{""parca"":""GAS ENGINE "",""list"":[""G3512""]},{""parca"":""GEN SET ENGINE "",""list"":[""3508"",""3508B"",""3512"",""3512B"",""3516"",""3516B"",""G3508""]},{""parca"":""GENERATOR SET "",""list"":[""3508"",""3508B"",""3508C"",""3512"",""3512B"",""3512C"",""3516"",""3516B"",""3516C""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3508"",""3508B"",""3512"",""3512B"",""3512C"",""3516"",""3516B""]},{""parca"":""LOCOMOTIVE ENGINE "",""list"":[""3508"",""3508B"",""3508C"",""3512"",""3512B"",""3512C"",""3516"",""3516B"",""3516C""]},{""parca"":""MARINE AUXILIARY "",""list"":[""3508B"",""3508C"",""3512"",""3512B"",""3512C"",""3516B"",""3516C""]},{""parca"":""MARINE ENGINE "",""list"":[""3508"",""3508B"",""3508C"",""3512"",""3512B"",""3512C"",""3516"",""3516B"",""3516C""]},{""parca"":""MINING EXCAVATOR "",""list"":[""5130"",""5130B"",""5230"",""5230B""]},{""parca"":""PETROLEUM ENGINE "",""list"":[""3508B"",""3508C"",""3512"",""3512B"",""3512C"",""3516C""]},{""parca"":""PETROLEUM TRANSMISSION "",""list"":[""TH48-E80"",""TH55-E70""]},{""parca"":""POWER MODULE "",""list"":[""3516C"",""PM3508"",""PM3512"",""PM3516"",""PP3516"",""XQC1200"",""XQC1600""]},{""parca"":""PUMPER "",""list"":[""SPF343"",""SPF343C"",""SPS343"",""SPT343""]},{""parca"":""REMAN ENGINE "",""list"":[""3516B""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D11N"",""D11R""]},{""parca"":""TRACTOR "",""list"":[""776C"",""776D"",""784B"",""784C""]},{""parca"":""TRUCK "",""list"":[""777"",""777B"",""777C"",""777D"",""785"",""785B"",""785C"",""785D"",""789"",""789B"",""789C"",""789D"",""793"",""793B"",""793C"",""793D"",""793F"",""793F CMD"",""793F OEM"",""797"",""797B""]},{""parca"":""VEHICULAR ENGINE "",""list"":[""3508"",""3512"",""3516""]},{""parca"":""WHEEL DOZER "",""list"":[""854G""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""992G"",""994"",""994D"",""994F"",""994H""]}]"
"SEAL-LIP TYPE (76.2 MM ID) 3E6756 - Caterpillar","[""CA3E6756"",""3E-6756"",""3E6756""]","Weight: 0.010 pounds 0 kg.","AXIAL WIDTH  7.92  mm","3E6756","[{""parca"":""TRACK-TYPE TRACTOR Caterpillar"",""list"":[""D10N"",""D10R"",""D10T"",""D10T2"",""D11N"",""D11R"",""D7E"",""D7E LGP"",""D7H"",""D7R"",""D7R II"",""D7R XR"",""D8N"",""D8R"",""D8R II"",""D8T"",""D9N"",""D9R"",""D9T""]}]"
"STABILIZER-SEAL 6T4871 - Caterpillar","[""CA6T4871"",""6T-4871"",""6T4871""]","Weight: 0.02 pounds 0 kg.",,"6T4871","[{""parca"":""EXCAVATOR "",""list"":[""235C""]},{""parca"":""PIPELAYER "",""list"":[""578"",""583R""]},{""parca"":""TRACK LOADER "",""list"":[""973""]},{""parca"":""TRACK SKIDDER "",""list"":[""517"",""527"",""D5HTSK II""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D6H"",""D6H II"",""D6H XL"",""D6H XR"",""D6R"",""D7H"",""D7R"",""D8L"",""D8N"",""D8R"",""D9N"",""D9R""]},{""parca"":""UNDERCARRIAGE Caterpillar"",""list"":[""OEMS""]}]"
"PIN 2G8641 - Caterpillar","[""CA2G8641"",""2G-8641"",""2G8641""]","Weight: 0.66 pounds 0 kg.",,"2G8641","[{""parca"":""MOTOR GRADER "",""list"":[""120G"",""12G"",""130G"",""140G"",""14G"",""16G""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""637D""]}]"
